,CombinationType,CreateDate,DeliveryMonth,DeliveryYear,EndDelivDate,ExchangeID,ExchangeInstID,ExpireDate,InstLifePhase,InstrumentID,InstrumentName,IsTrading,LongMarginRatio,MaxLimitOrderVolume,MaxMarginSideAlgorithm,MaxMarketOrderVolume,MinLimitOrderVolume,MinMarketOrderVolume,OpenDate,OptionsType,PositionDateType,PositionType,PriceTick,ProductClass,ProductID,ShortMarginRatio,StartDelivDate,StrikePrice,UnderlyingInstrID,UnderlyingMultiple,VolumeMultiple
47,b'0',b'20151106',11.0,2016.0,b'20161117',b'SHFE',b'cu1611',b'20161115',b'1',b'cu1611',b'\xcd\xad1611',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151117',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20161116',1.7976931348623157e+308,b'',1.0,5.0
48,b'0',b'20151207',12.0,2016.0,b'20161219',b'SHFE',b'cu1612',b'20161215',b'1',b'cu1612',b'\xcd\xad1612',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151216',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20161216',1.7976931348623157e+308,b'',1.0,5.0
49,b'0',b'20151216',1.0,2017.0,b'20170123',b'SHFE',b'cu1701',b'20170116',b'1',b'cu1701',b'\xcd\xad1701',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160118',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170117',0.0,b'',0.0,5.0
50,b'0',b'20160114',2.0,2017.0,b'20170222',b'SHFE',b'cu1702',b'20170215',b'1',b'cu1702',b'\xcd\xad1702',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160216',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170216',0.0,b'',0.0,5.0
51,b'0',b'20160205',3.0,2017.0,b'20170322',b'SHFE',b'cu1703',b'20170315',b'1',b'cu1703',b'\xcd\xad1703',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160316',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170316',0.0,b'',0.0,5.0
52,b'0',b'20160316',4.0,2017.0,b'20170424',b'SHFE',b'cu1704',b'20170417',b'1',b'cu1704',b'\xcd\xad1704',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160418',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170418',0.0,b'',0.0,5.0
53,b'0',b'20160414',5.0,2017.0,b'20170522',b'SHFE',b'cu1705',b'20170515',b'1',b'cu1705',b'\xcd\xad1705',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160517',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170516',0.0,b'',0.0,5.0
54,b'0',b'20160516',6.0,2017.0,b'20170622',b'SHFE',b'cu1706',b'20170615',b'1',b'cu1706',b'\xcd\xad1706',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160616',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170616',0.0,b'',0.0,5.0
55,b'0',b'20160615',7.0,2017.0,b'20170724',b'SHFE',b'cu1707',b'20170717',b'1',b'cu1707',b'\xcd\xad1707',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160718',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170718',0.0,b'',0.0,5.0
56,b'0',b'20150706',8.0,2016.0,b'20160802',b'SHFE',b'fu1608',b'20160729',b'1',b'fu1608',b'\xc8\xbc\xc1\xcf\xd3\xcd1608',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20150803',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20160801',0.0,b'',0.0,50.0
57,b'0',b'20150807',9.0,2016.0,b'20160902',b'SHFE',b'fu1609',b'20160831',b'1',b'fu1609',b'\xc8\xbc\xc1\xcf\xd3\xcd1609',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20150901',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20160901',1.7976931348623157e+308,b'',1.0,50.0
58,b'0',b'20150902',10.0,2016.0,b'20161002',b'SHFE',b'fu1610',b'20160930',b'1',b'fu1610',b'\xc8\xbc\xc1\xcf\xd3\xcd1610',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20151008',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20161001',1.7976931348623157e+308,b'',1.0,50.0
59,b'0',b'20151008',11.0,2016.0,b'20161102',b'SHFE',b'fu1611',b'20161031',b'1',b'fu1611',b'\xc8\xbc\xc1\xcf\xd3\xcd1611',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20151102',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20161101',1.7976931348623157e+308,b'',1.0,50.0
60,b'0',b'20151106',12.0,2016.0,b'20161202',b'SHFE',b'fu1612',b'20161130',b'1',b'fu1612',b'\xc8\xbc\xc1\xcf\xd3\xcd1612',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20151201',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20161201',1.7976931348623157e+308,b'',1.0,50.0
61,b'0',b'20160105',2.0,2017.0,b'20170202',b'SHFE',b'fu1702',b'20170131',b'1',b'fu1702',b'\xc8\xbc\xc1\xcf\xd3\xcd1702',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20160201',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170201',1.7976931348623157e+308,b'',1.0,50.0
62,b'0',b'20160201',3.0,2017.0,b'20170307',b'SHFE',b'fu1703',b'20170228',b'1',b'fu1703',b'\xc8\xbc\xc1\xcf\xd3\xcd1703',1.0,0.2,500.0,b'1',30.0,1.0,1.0,b'20160301',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170301',0.0,b'',0.0,50.0
63,b'0',b'20160301',4.0,2017.0,b'20170407',b'SHFE',b'fu1704',b'20170331',b'1',b'fu1704',b'\xc8\xbc\xc1\xcf\xd3\xcd1704',1.0,0.2,500.0,b'1',30.0,1.0,1.0,b'20160401',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170403',0.0,b'',0.0,50.0
64,b'0',b'20160401',5.0,2017.0,b'20170508',b'SHFE',b'fu1705',b'20170428',b'1',b'fu1705',b'\xc8\xbc\xc1\xcf\xd3\xcd1705',1.0,0.2,500.0,b'1',30.0,1.0,1.0,b'20160503',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170502',0.0,b'',0.0,50.0
65,b'0',b'20160503',6.0,2017.0,b'20170607',b'SHFE',b'fu1706',b'20170531',b'1',b'fu1706',b'\xc8\xbc\xc1\xcf\xd3\xcd1706',1.0,0.2,500.0,b'1',30.0,1.0,1.0,b'20160601',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170601',0.0,b'',0.0,50.0
66,b'0',b'20160601',7.0,2017.0,b'20170707',b'SHFE',b'fu1707',b'20170630',b'1',b'fu1707',b'\xc8\xbc\xc1\xcf\xd3\xcd1707',1.0,0.2,500.0,b'1',30.0,1.0,1.0,b'20160701',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170703',0.0,b'',0.0,50.0
67,b'0',b'20150807',8.0,2016.0,b'20160817',b'SHFE',b'hc1608',b'20160815',b'1',b'hc1608',b'\xc8\xc8\xd4\xfe\xb0\xe51608',1.0,0.06,500.0,b'1',500.0,1.0,1.0,b'20150818',b'\x00',b'1',b'2',1.0,b'1',b'hc',0.06,b'20160816',1.7976931348623157e+308,b'',1.0,10.0
68,b'0',b'20150902',9.0,2016.0,b'20160921',b'SHFE',b'hc1609',b'20160919',b'1',b'hc1609',b'\xc8\xc8\xd4\xfe\xb0\xe51609',1.0,0.06,500.0,b'1',500.0,1.0,1.0,b'20150916',b'\x00',b'1',b'2',1.0,b'1',b'hc',0.06,b'20160920',0.0,b'',1.0,10.0
